stat_id,course_id,instructor_id,gpa,enrollment,withdraw,past_classes
Adams (AS) AS 2934,AS 2934,Adams (AS),3.95,125.75,0.0,4
Adams (ECE) ECE 2514,ECE 2514,Adams (ECE),3.22,71.0,1.0,1
Adams (ECE) ECE 4805,ECE 4805,Adams (ECE),3.97,194.0,0.0,1
Adams (ECE) ECE 4806,ECE 4806,Adams (ECE),3.67,63.0,0.0,1
Adams (EDHE) EDHE 5105,EDHE 5105,Adams (EDHE),3.63,7.6,0.0,5
Adams (EDHE) EDHE 5106,EDHE 5106,Adams (EDHE),3.82,8.25,0.0,4
Adams (EDHE) EDHE 5284,EDHE 5284,Adams (EDHE),3.97,7.5,0.0,6
Adams (EDHE) EDHE 5304,EDHE 5304,Adams (EDHE),3.7,9.6,0.0,5
Adams (EDHE) EDHE 5984,EDHE 5984,Adams (EDHE),3.89,10.0,0.0,4
Adams (EDHE) EDHE 6274,EDHE 6274,Adams (EDHE),3.97,10.0,0.0,1
Adams (GEOG) GEOG 2084,GEOG 2084,Adams (GEOG),2.99,30.0,1.0,1
Adams (MSE) MSE 2884,MSE 2884,Adams (MSE),3.7,76.5,0.0,2
Adams (PSYC) PSYC 1094,PSYC 1094,Adams (PSYC),3.74,44.15,0.15,13
Adams (PSYC) PSYC 2054,PSYC 2054,Adams (PSYC),3.66,57.83,0.33,6
Adams (PSYC) PSYC 4084,PSYC 4084,Adams (PSYC),3.86,54.0,0.0,2
Adams (PSYC) PSYC 4364,PSYC 4364,Adams (PSYC),3.82,22.0,1.0,1
Adams (PSYC) PSYC 4994,PSYC 4994,Adams (PSYC),4.0,6.0,0.0,2
Adeyeye (ENGL) ENGL 1105,ENGL 1105,Adeyeye (ENGL),3.26,18.0,0.25,4
Adeyeye (ENGL) ENGL 1106,ENGL 1106,Adeyeye (ENGL),3.36,16.5,0.0,2
Adeyeye (ENGL) ENGL 2744,ENGL 2744,Adeyeye (ENGL),3.85,15.0,0.0,1
Adhikari (CS) CS 5525,CS 5525,Adhikari (CS),3.75,10.0,0.0,1
Adjei (MATH) MATH 1225,MATH 1225,Adjei (MATH),2.3,30.67,5.33,3
Adjei (PHYS) PHYS 2074,PHYS 2074,Adjei (PHYS),3.41,94.0,1.0,1
Adjerid (BIT) BIT 4604,BIT 4604,Adjerid (BIT),3.5,61.5,0.5,4
Adjerid (BIT) BIT 4624,BIT 4624,Adjerid (BIT),3.4,53.38,0.12,8
Adjerid (BIT) BIT 4984,BIT 4984,Adjerid (BIT),3.44,13.0,0.5,2
Adjerid (BIT) BIT 6984,BIT 6984,Adjerid (BIT),3.68,10.0,0.0,1
Adjerid (MATH) MATH 1214,MATH 1214,Adjerid (MATH),2.49,37.0,3.0,1
Adjerid (MATH) MATH 2114,MATH 2114,Adjerid (MATH),2.48,34.0,1.5,6
Adjerid (MATH) MATH 4445,MATH 4445,Adjerid (MATH),2.44,15.67,0.67,3
Adjerid (MATH) MATH 4446,MATH 4446,Adjerid (MATH),3.03,15.0,1.0,2
Adjerid (MATH) MATH 5414,MATH 5414,Adjerid (MATH),3.94,5.0,0.0,1
Adjerid (MATH) MATH 5444,MATH 5444,Adjerid (MATH),3.95,6.0,0.0,1
Adjerid (MATH) MATH 5474,MATH 5474,Adjerid (MATH),3.94,5.0,0.0,1
Adjerid (MATH) MATH 5484,MATH 5484,Adjerid (MATH),3.62,6.0,0.0,1
Afonja (ENGE) ENGE 1215,ENGE 1215,Afonja (ENGE),3.26,32.5,0.0,2
Afsari (CEM) CEM 2104,CEM 2104,Afsari (CEM),3.79,25.15,0.15,13
Afsari (CEM) CEM 4994,CEM 4994,Afsari (CEM),3.86,5.0,0.0,1
Afsari (CNST) CNST 5624,CNST 5624,Afsari (CNST),4.0,5.0,0.0,1
Aga (ARCH) ARCH 1015,ARCH 1015,Aga (ARCH),3.63,18.0,0.0,1
Aga (ARCH) ARCH 1016,ARCH 1016,Aga (ARCH),3.87,18.0,0.0,1
Agah (ECE) ECE 3204,ECE 3204,Agah (ECE),2.52,33.0,0.0,1
Agah (ECE) ECE 5210,ECE 5210,Agah (ECE),3.43,10.5,0.0,2
Agee (BC) BC 3014,BC 3014,Agee (BC),4.0,7.0,0.0,1
Agee (BC) BC 3064,BC 3064,Agee (BC),3.61,41.53,0.07,15
Agee (BC) BC 3114,BC 3114,Agee (BC),3.03,32.67,0.0,6
Agee (BC) BC 4974,BC 4974,Agee (BC),4.0,9.0,0.0,1
Aggrey (STS) STS 3314,STS 3314,Aggrey (STS),3.6,17.33,0.0,3
Agmon (HIST) HIST 1026,HIST 1026,Agmon (HIST),3.53,34.0,1.0,2
Agmon (HIST) HIST 5104,HIST 5104,Agmon (HIST),3.69,8.5,0.0,2
Agnew (GEOG) GEOG 4764,GEOG 4764,Agnew (GEOG),2.92,5.0,0.0,1
Agnew (SOC) SOC 4764,SOC 4764,Agnew (SOC),2.07,6.0,0.0,1
Agnew (UAP) UAP 4764,UAP 4764,Agnew (UAP),3.19,9.0,0.0,1
Agnew (UAP) UAP 5764,UAP 5764,Agnew (UAP),3.38,6.0,0.0,1
Agozino (AFST) AFST 1814,AFST 1814,Agozino (AFST),3.25,34.8,1.8,5
Agozino (AFST) AFST 2354,AFST 2354,Agozino (AFST),3.0,8.33,0.67,3
Agozino (AFST) AFST 5234,AFST 5234,Agozino (AFST),4.0,5.0,0.0,1
Agozino (CRIM) CRIM 3414,CRIM 3414,Agozino (CRIM),3.18,27.83,3.33,6
Agozino (SOC) SOC 3414,SOC 3414,Agozino (SOC),3.23,25.0,5.0,1
Agozino (SOC) SOC 4404,SOC 4404,Agozino (SOC),3.35,45.0,6.4,5
Agrawal (NEUR) NEUR 4044,NEUR 4044,Agrawal (NEUR),3.84,20.0,0.0,1
Agud (MATH) MATH 1014,MATH 1014,Agud (MATH),2.5,48.42,12.75,12
Agud (MATH) MATH 1025,MATH 1025,Agud (MATH),2.38,75.25,10.17,12
Agud (MATH) MATH 2204,MATH 2204,Agud (MATH),2.42,36.5,6.5,4
Aguilar (CEE) CEE 4334,CEE 4334,Aguilar (CEE),3.36,18.5,0.0,2
Agurto Adrianzen (ECON) ECON 6984,ECON 6984,Agurto Adrianzen (ECON),3.97,9.0,0.0,1
Ahmadi (ESM) ESM 2114,ESM 2114,Ahmadi (ESM),3.1,17.0,0.0,1
Ahmadian (CS) CS 1064,CS 1064,Ahmadian (CS),3.57,72.0,3.0,1
Ahmadian (ME) ME 4534,ME 4534,Ahmadian (ME),3.35,77.0,1.2,5
Ahmed (BMVS) BMVS 4994,BMVS 4994,Ahmed (BMVS),4.0,10.0,0.0,1
Ahmed (GRAD) GRAD 5954,GRAD 5954,Ahmed (GRAD),4.0,6.0,0.0,1
Ahram (GIA) GIA 5274,GIA 5274,Ahram (GIA),3.35,13.0,0.0,1
Ahram (GIA) GIA 5314,GIA 5314,Ahram (GIA),3.3,9.0,0.0,2
Ahram (GIA) GIA 5464,GIA 5464,Ahram (GIA),3.51,10.8,0.0,5
Ahram (GIA) GIA 5514,GIA 5514,Ahram (GIA),3.37,8.33,0.0,3
Ahram (GIA) GIA 5664,GIA 5664,Ahram (GIA),3.61,9.0,0.0,1
Ahram (IS) IS 4754,IS 4754,Ahram (IS),3.93,6.0,0.0,2
Ahram (PSCI) PSCI 4754,PSCI 4754,Ahram (PSCI),4.0,5.67,0.0,3
Ahram (PSCI) PSCI 5514,PSCI 5514,Ahram (PSCI),3.54,5.0,0.0,1
Ahram (SPIA) SPIA 3704,SPIA 3704,Ahram (SPIA),3.2,10.5,0.5,2
Aidi (ESM) ESM 2104,ESM 2104,Aidi (ESM),2.4,59.0,8.0,1
Aidi (ESM) ESM 2204,ESM 2204,Aidi (ESM),2.58,36.67,5.17,6
Aidi (ESM) ESM 3054,ESM 3054,Aidi (ESM),3.03,24.17,0.5,6
Aidi (ESM) ESM 3064,ESM 3064,Aidi (ESM),3.26,8.25,0.0,4
Aidi (ESM) ESM 4024,ESM 4024,Aidi (ESM),3.0,11.0,0.0,1
Aidi (MSE) MSE 3054,MSE 3054,Aidi (MSE),2.87,9.83,0.17,6
Aidi (MSE) MSE 3064,MSE 3064,Aidi (MSE),3.58,10.1,0.0,10
