crn,dept,course_id,instructor_id,title,modality,credits,capacity,days,start_time,end_time,location
18214,MSE,MSE 4076,Staff (MSE),Senior Design Laboratory,F2F,2,0,(ARR),(ARR),(ARR),00X
18215,MSE,MSE 4076,Zhang (MSE),Senior Design Laboratory,F2F,2,0,(ARR),(ARR),(ARR),00X
18216,MSE,MSE 4076,Druschitz (MSE),Senior Design Laboratory,F2F,2,0,(ARR),(ARR),(ARR),00X
18217,MSE,MSE 4076,Staff (MSE),Senior Design Laboratory,F2F,2,0,(ARR),(ARR),(ARR),00X
18218,MSE,MSE 4076,Brand (MSE),Senior Design Laboratory,F2F,2,0,(ARR),(ARR),(ARR),00X
18219,MSE,MSE 4076,Staff (MSE),Senior Design Laboratory,F2F,2,0,(ARR),(ARR),(ARR),00X
18220,MSE,MSE 4076,Clark (MSE),Senior Design Laboratory,F2F,2,0,(ARR),(ARR),(ARR),00X
18221,MSE,MSE 4076,Hill (MSE),Senior Design Laboratory,F2F,2,0,(ARR),(ARR),(ARR),00X
18222,MSE,MSE 4076,Cai (MSE),Senior Design Laboratory,F2F,2,0,(ARR),(ARR),(ARR),00X
18223,MSE,MSE 4076,Pickrell (MSE),Senior Design Laboratory,F2F,2,0,(ARR),(ARR),(ARR),00X
18224,MSE,MSE 4076,Whittington (MSE),Senior Design Laboratory,F2F,2,0,(ARR),(ARR),(ARR),00X
18225,MSE,MSE 4076,Tallon Galdeano (MSE),Senior Design Laboratory,F2F,2,0,(ARR),(ARR),(ARR),00X
18226,MSE,MSE 4086,Staley (MSE),Senior Capstone Recitation,F2F,1,40,W,2:30PM,3:45PM,HOLD 224
18227,MSE,MSE 4096H,Lu (MSE),Honors Senior Design Lab,Hybrid,3,0,(ARR),(ARR),(ARR),00X
18228,MSE,MSE 4096H,Staff (MSE),Honors Senior Design Lab,Hybrid,3,0,(ARR),(ARR),(ARR),00X
18229,MSE,MSE 4096H,Lu (MSE),Honors Senior Design Lab,Hybrid,3,0,(ARR),(ARR),(ARR),00X
21442,MSE,MSE 4164,Cai (MSE),Princ Matls Corrosion,F2F,3,25,M W F,1:25PM,2:15PM,HOLD 244
18230,MSE,MSE 4314,Druschitz (MSE),Bladesmithing,F2F,3,10,M W,12:20PM,1:10PM,NCB 110B
18231,MSE,MSE 4324,Druschitz (MSE),Advanced Metal Casting Lab,F2F,2,10,W,2:30PM,3:20PM,KAMF 106
18232,MSE,MSE 4324,Druschitz (MSE),Advanced Metal Casting Lab,F2F,2,10,T,2:45PM,3:35PM,KAMF 106
18233,MSE,MSE 4334,Murayama (MSE),Applied Materials Analysis,F2F,3,4,T R,3:30PM,4:45PM,MCB 207
18234,MSE,MSE 4394,Bai (MSE),Intro Molecular Dynamics,F2F,3,15,M W,2:30PM,3:45PM,MCB 212
18235,MSE,MSE 4414,Tallon Galdeano (MSE),Physical Ceramics,F2F,3,40,T R,9:30AM,10:45AM,HOLD 244
18236,MSE,MSE 4544,Figg (MSE),Laboratory In Polymer Science,F2F,2,12,T R,1:30PM,5:30PM,HAHN N 401
18237,MSE,MSE 4554,Hill (MSE),Polymer Engineering,F2F,3,40,T R,9:30AM,10:45AM,WHIT 257
21445,MSE,MSE 4574,Whittington (MSE),Biomaterials,F2F,3,30,M W F,9:05AM,9:55AM,DURHM 261
18238,MSE,MSE 4604,Aning (MSE),Composite Materials,F2F,3,25,T R,5:00PM,6:15PM,HOLD 234
18239,MSE,MSE 4644,Pickrell (MSE),Materials Design Experiments,F2F,3,75,T R,2:00PM,3:15PM,SURGE 104A
18257,MSE,MSE 5016,Cai (MSE),MSE Seminar,F2F,1,75,F,11:15AM,12:05PM,HOLD AUD
18258,MSE,MSE 5016,Cai (MSE),MSE Seminar,OnlineSync,1,0,F,11:15AM,12:05PM,ONLINE
18259,MSE,MSE 5016,Cai (MSE),MSE Seminar,OnlineSync,1,0,F,11:15AM,12:05PM,ONLINE
18260,MSE,MSE 5034,Viehland (MSE),Structure Properties Materials,OnlineSync,3,20,T R,2:00PM,3:15PM,ONLINE
21447,MSE,MSE 5064,Reynolds (MSE),Diffusion and Kinetics,F2F,3,25,T R,9:30AM,10:45AM,MCB 202
18264,MSE,MSE 5144,Aidi (MSE),Deformation & Fracture of Mtls,Hybrid,3,15,T R,11:00AM,12:15PM,MCB 216
18265,MSE,MSE 5144,West (MSE),Deformation & Fracture of Mtls,OnlineSync,3,10,T R,11:00AM,12:15PM,ONLINE
21443,MSE,MSE 5164,Cai (MSE),Corrosion & Electrochem Proc,F2F,3,10,M W F,1:25PM,2:15PM,HOLD 244
21444,MSE,MSE 5200,Asryan (MSE),Semiconductor Heterostructures,F2F,3,25,T R,6:30PM,7:45PM,HOLD 234
18266,MSE,MSE 5304,Druschitz (MSE),Contemporary Topics MSE,F2F,3,10,T R,8:00AM,9:15AM,MCB 204
18267,MSE,MSE 5334,Murayama (MSE),Adv Applied Materials Analysis,F2F,3,10,T R,3:30PM,4:45PM,MCB 207
18268,MSE,MSE 5394,Bai (MSE),Adv Molecular Dynamics Sim,F2F,3,14,M W,2:30PM,3:45PM,MCB 212
20732,MSE,MSE 5504,Hin (MSE),Radiation Effects on Metals,F2F,3,20,T R,11:00AM,12:15PM,TBA
20779,MSE,MSE 5504,Hin (MSE),Radiation Effects on Metals,F2F,3,10,M W,4:00PM,5:15PM,DAV 125
21446,MSE,MSE 5574G,Whittington (MSE),Advanced Biomaterials,F2F,3,10,M W F,9:05AM,9:55AM,DURHM 261
18295,MUS,MUS 1005,Berrios Rodriguez (MUS),Theory Fundamentals,OnlineAsync,3,125,(ARR),(ARR),(ARR),00X
18296,MUS,MUS 1006,Reep (MUS),Theory Fundamentals,F2F,3,30,M W F,1:25PM,2:15PM,SQUIR 162
18297,MUS,MUS 1104,Berrios Rodriguez (MUS),Music Appreciation,OnlineAsync,3,150,(ARR),(ARR),(ARR),00X
18298,MUS,MUS 1104,Knoeckel (MUS),Music Appreciation,OnlineAsync,3,150,(ARR),(ARR),(ARR),00X
18299,MUS,MUS 1104,Lantz Crone (MUS),Music Appreciation,OnlineAsync,3,150,(ARR),(ARR),(ARR),00X
18300,MUS,MUS 1104,Irrera (MUS),Music Appreciation,OnlineAsync,3,150,(ARR),(ARR),(ARR),00X
18301,MUS,MUS 1104,Lantz Crone (MUS),Music Appreciation,OnlineAsync,3,150,(ARR),(ARR),(ARR),00X
18302,MUS,MUS 1104,Dokshansky (MUS),Music Appreciation,OnlineAsync,3,150,(ARR),(ARR),(ARR),00X
18304,MUS,MUS 2026,Knoeckel (MUS),European American Music Theory,F2F,3,50,M W F,9:05AM,9:55AM,SQUIR 243
18306,MUS,MUS 2046,Dokshansky (MUS),Sightsinging Laboratory,F2F,1,12,M W F,11:15AM,12:05PM,SQUIR 162
21470,MUS,MUS 2046,Elmer (MUS),Sightsinging Laboratory,F2F,1,12,M W F,10:10AM,11:00AM,SQUIR 162
18307,MUS,MUS 2054,OLeary (MUS),Intro to Music Technology,F2F,2,30,T R,11:00AM,12:15PM,SQUIR 243
18308,MUS,MUS 2056,Bank (MUS),Audio Technology For Music,F2F,3,24,T R,12:30PM,1:45PM,LIBR 121
