instructor_id,last_name,dept,gpa,enrollment,withdraw,past_classes,new_classes
Alvarez Guillen (SPAN),Alvarez Guillen,SPAN,3.05,13.44,0.12,16,0
Alwang (AAEC),Alwang,AAEC,3.47,17.2,0.5,10,0
Alwang (ALS),Alwang,ALS,3.96,7.5,0.0,2,0
Alward (APSC),Alward,APSC,4.0,11.0,0.0,1,0
Alward (DASC),Alward,DASC,3.96,7.0,0.0,1,0
Amacher (AAEC),Amacher,AAEC,3.38,8.0,0.0,1,1
Amacher (ECON),Amacher,ECON,3.23,71.0,2.6,5,0
Amacher (FREC),Amacher,FREC,3.52,36.75,0.25,8,1
Amacher (WATR),Amacher,WATR,3.71,17.0,0.0,1,1
Amateis (CHEM),Amateis,CHEM,2.69,52.75,5.42,72,0
Amateis (HNFE),Amateis,HNFE,4.0,6.0,0.0,1,0
Ambrosone (TA),Ambrosone,TA,3.21,17.75,0.25,12,1
Ameli (ENGL),Ameli,ENGL,3.3,16.57,0.86,7,0
Amey (COMM),Amey,COMM,3.73,18.5,0.0,2,0
Amey (JMC),Amey,JMC,3.87,18.5,0.0,4,3
Amini (MINE),Amini,MINE,3.09,14.2,0.0,5,0
Ampadu (ECE),Ampadu,ECE,3.25,31.29,1.71,7,1
Ampatzi (ART),Ampatzi,ART,3.39,16.0,0.67,3,0
Anderson (FREC),Anderson,FREC,3.27,19.0,0.0,1,0
Anderson (HNFE),Anderson,HNFE,3.67,53.62,0.25,60,4
Anderson (MATH),Anderson,MATH,2.67,23.35,3.38,26,0
Anderson (MGT),Anderson,MGT,3.14,38.0,0.33,3,3
Anderson (NSEG),Anderson,NSEG,3.46,28.0,1.0,1,0
Anderson (PHYS),Anderson,PHYS,3.03,29.8,0.4,10,0
Andrango-Walker (SPAN),Andrango-Walker,SPAN,3.69,13.88,0.38,16,0
Andre Alves de Lima (LDRS),Andre Alves de Lima,LDRS,3.88,21.0,0.5,2,0
Andree (FIN),Andree,FIN,3.01,37.0,0.57,7,2
Andrukonis (APSC),Andrukonis,APSC,3.59,21.43,0.29,7,3
Angarita (AOE),Angarita,AOE,2.87,45.0,2.0,1,0
Angel (CSES),Angel,CSES,3.91,6.2,0.0,5,0
Angel (ENSC),Angel,ENSC,3.68,5.0,0.0,1,0
Anggara (ART),Anggara,ART,3.95,18.8,0.0,5,0
Angst (ARCH),Angst,ARCH,3.78,8.0,0.33,3,0
Aning (MSE),Aning,MSE,3.28,13.57,0.93,14,2
